"TIME","GEO","VICTIM","UNIT","Value","Flag and Footnotes"
"2004","Romania","Injured","Per million inhabitants","312",""
"2004","Slovenia","Killed","Number","274",""
"2004","Slovenia","Killed","Per million inhabitants","137",""
"2004","Slovenia","Injured","Number","18,723",""
"2004","Slovenia","Injured","Per million inhabitants","9,378",""
"2004","Slovakia","Killed","Number","608",""
"2004","Slovakia","Killed","Per million inhabitants","113",""
"2004","Slovakia","Injured","Number","11,190",""
"2004","Slovakia","Injured","Per million inhabitants","2,083",""
"2004","Finland","Killed","Number","375",""
"2004","Finland","Killed","Per million inhabitants","72",""
"2004","Finland","Injured","Number","8,791",""
"2004","Finland","Injured","Per million inhabitants","1,684",""
"2004","Sweden","Killed","Number","480",""
"2004","Sweden","Killed","Per million inhabitants","53",""
"2004","Sweden","Injured","Number","26,582",""
"2004","Sweden","Injured","Per million inhabitants","2,962",""
"2004","United Kingdom","Killed","Number","3,368",""
"2004","United Kingdom","Killed","Per million inhabitants","56",""
"2004","United Kingdom","Injured","Number","286,979",""
"2004","United Kingdom","Injured","Per million inhabitants","4,799",""
"2004","Liechtenstein","Killed","Number","1",""
"2004","Liechtenstein","Killed","Per million inhabitants","29",""
"2004","Liechtenstein","Injured","Number","123",""
"2004","Liechtenstein","Injured","Per million inhabitants","3,587",""
"2004","Norway","Killed","Number","257",""
"2004","Norway","Killed","Per million inhabitants","56",""
"2004","Norway","Injured","Number","12,121",""
"2004","Norway","Injured","Per million inhabitants","2,648",""
"2004","Switzerland","Killed","Number","510",""
"2004","Switzerland","Killed","Per million inhabitants","69",""
"2004","Switzerland","Injured","Number","28,746",""
"2004","Switzerland","Injured","Per million inhabitants","3,904",""
"2004","Turkey","Killed","Number","4,427",""
"2004","Turkey","Killed","Per million inhabitants","63",""
"2004","Turkey","Injured","Number","136,437",""
"2004","Turkey","Injured","Per million inhabitants","1,930",""
"2005","Belgium","Killed","Number","1,089",""
"2005","Belgium","Killed","Per million inhabitants","104",""
"2005","Belgium","Injured","Number","65,386",""
"2005","Belgium","Injured","Per million inhabitants","6,260",""
"2005","Bulgaria","Killed","Number","957",""
"2005","Bulgaria","Killed","Per million inhabitants","124",""
"2005","Bulgaria","Injured","Number","10,112",""
"2005","Bulgaria","Injured","Per million inhabitants","1,315",""
"2005","Czechia","Killed","Number","1,286",""
"2005","Czechia","Killed","Per million inhabitants","126",""
"2005","Czechia","Injured","Number","32,211",""
"2005","Czechia","Injured","Per million inhabitants","3,158",""
"2005","Denmark","Killed","Number",":",""
"2005","Denmark","Killed","Per million inhabitants",":",""
"2005","Denmark","Injured","Number",":",""
"2005","Denmark","Injured","Per million inhabitants",":",""
"2005","Germany (until 1990 former territory of the FRG)","Killed","Number","5,361",""
"2005","Germany (until 1990 former territory of the FRG)","Killed","Per million inhabitants","65",""
"2005","Germany (until 1990 former territory of the FRG)","Injured","Number","433,443",""
"2005","Germany (until 1990 former territory of the FRG)","Injured","Per million inhabitants","5,254",""
"2005","Estonia","Killed","Number","170",""
"2005","Estonia","Killed","Per million inhabitants","125",""
"2005","Estonia","Injured","Number","3,027",""
"2005","Estonia","Injured","Per million inhabitants","2,228",""
"2005","Ireland","Killed","Number","396",""
"2005","Ireland","Killed","Per million inhabitants","96",""
"2005","Ireland","Injured","Number","6,173",""
"2005","Ireland","Injured","Per million inhabitants","1,501",""
"2005","Greece","Killed","Number","1,658",""
"2005","Greece","Killed","Per million inhabitants","151",""
"2005","Greece","Injured","Number","22,048",""
"2005","Greece","Injured","Per million inhabitants","2,010",""
"2005","Spain","Killed","Number","4,442",""
"2005","Spain","Killed","Per million inhabitants","103",""
"2005","Spain","Injured","Number","132,809",""
"2005","Spain","Injured","Per million inhabitants","3,067",""
"2005","France","Killed","Number","5,543",""
"2005","France","Killed","Per million inhabitants","88",""
"2005","France","Injured","Number","111,683",""
"2005","France","Injured","Per million inhabitants","1,779",""
"2005","Croatia","Killed","Number","597",""
"2005","Croatia","Killed","Per million inhabitants","138",""
"2005","Croatia","Injured","Number","21,773",""
"2005","Croatia","Injured","Per million inhabitants","5,051",""
"2005","Italy","Killed","Number","5,818",""
"2005","Italy","Killed","Per million inhabitants","101",""
"2005","Italy","Injured","Number","334,858",""
"2005","Italy","Injured","Per million inhabitants","5,786",""
"2005","Cyprus","Killed","Number","102",""
