"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2005","Iceland","E-roads","Kilometre","0",""
"2005","Norway","Motorways","Kilometre","264",""
"2005","Norway","E-roads","Kilometre",":",""
"2005","Switzerland","Motorways","Kilometre","1,358",""
"2005","Switzerland","E-roads","Kilometre","1,466",""
"2005","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre","216",""
"2005","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre","548",""
"2005","Turkey","Motorways","Kilometre","1,667",""
"2005","Turkey","E-roads","Kilometre","8,875",""
"2006","Belgium","Motorways","Kilometre","1,763",""
"2006","Belgium","E-roads","Kilometre",":",""
"2006","Bulgaria","Motorways","Kilometre","394",""
"2006","Bulgaria","E-roads","Kilometre",":",""
"2006","Czechia","Motorways","Kilometre","633",""
"2006","Czechia","E-roads","Kilometre","2,599",""
"2006","Denmark","Motorways","Kilometre","1,071",""
"2006","Denmark","E-roads","Kilometre",":",""
"2006","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,531",""
"2006","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2006","Estonia","Motorways","Kilometre","99",""
"2006","Estonia","E-roads","Kilometre",":",""
"2006","Ireland","Motorways","Kilometre",":",""
"2006","Ireland","E-roads","Kilometre",":",""
"2006","Greece","Motorways","Kilometre",":",""
"2006","Greece","E-roads","Kilometre",":",""
"2006","Spain","Motorways","Kilometre","12,073","d"
"2006","Spain","E-roads","Kilometre",":",""
"2006","France","Motorways","Kilometre","10,848",""
"2006","France","E-roads","Kilometre","13,218",""
"2006","Croatia","Motorways","Kilometre","1,081","d"
"2006","Croatia","E-roads","Kilometre","2,049",""
"2006","Italy","Motorways","Kilometre","6,554",""
"2006","Italy","E-roads","Kilometre",":",""
"2006","Cyprus","Motorways","Kilometre","257",""
"2006","Cyprus","E-roads","Kilometre",":",""
"2006","Latvia","Motorways","Kilometre","0",""
"2006","Latvia","E-roads","Kilometre","202",""
"2006","Lithuania","Motorways","Kilometre","309",""
"2006","Lithuania","E-roads","Kilometre","1,649",""
"2006","Luxembourg","Motorways","Kilometre","147",""
